Results;SA_Code;Description
BR;E60_;
LACK;0A08;Silbergrau Metallic 
SA_1;205;Automatic transmission
SA_2;217;Active steering
SA_3;226;Sports suspension settings
SA_4;229;Dynamic drive
SA_5;300;Emergency spare wheel
SA_6;302;Alarm system
SA_7;319;Integrated universal remote control
SA_8;339;Shadow Line
SA_9;354;Windscreen with green shade band
C_TYP;NB33;E60 Saloon N62B44 LHD US
SA_10;403;Glass roof, electrical
SA_11;430;Interior and exterior mirrors with automatic anti-dazzle function
SA_12;431;Interior rear-view mirror with automatic anti-dazzle function
SA_13;438;Fine-wood trim
SA_14;441;Smoker's package
SA_15;442;Cupholder
SA_16;459;Seat adjustment, electrical with memory
SA_17;473;Armrest front
SA_18;481;Sport seats for driver and front passenger
SA_19;488;Lumbar support for driver and front passenger
SA_20;508;Park distance control
SA_21;522;Xenon Light
SA_22;524;Adaptive headlight
SA_23;534;Automatic air conditioning
SA_24;540;Cruise control
SA_25;563;Lights package
SA_26;591;Light alloy wheels Star-spoke style 124 with runflat tyres and mixed tyres
SA_27;605;Telematics preparation
SA_28;639;Full preparation package mobile phone USA/CDN including Telematics
SA_29;645;Radio control US
SA_30;672;CD changer for 6 CDs
SA_31;677;HiFi system Professional
SA_32;693;Preparation for satellite tuner
SA_33;697;Area code 1 for DVD
SA_34;785;White direction indicator lights
SA_35;818;Battery master switch
SA_36;823;Hot-climate version
SA_37;845;Acoustic seat-belt warning
SA_38;850;Additional tank filling, export
SA_39;853;Language version English
SA_40;876;Radio frequency 315 MHz
SA_41;925;Shipping protection package
SA_42;992;Control of number-plate attachment
SA_43;9AA;External skin protection
C_DATE;0305;03.2005
SA_ANZ;43;
POLSTER;LCAD;
VERSION;02;
E_WORT_1;B110;Battery 110 Ah, DO
E_WORT_ANZ;1;
JOB_STATUS;OKAY;
ZUSBAU_ANZ;0;
HO_WORT_ANZ;0;
STANDARD_FA;E60_#0305*NB33%0A08&LCAD$205$217$226$229$300$302$319$339$354$403$430$431$438$441$442$459$473$481$488$508$522$524$534$540$563$591$605$639$645$672$677$693$697$785$818$823$845$850$853$876$925$992$9AA-B110;
