ECU_ADR;ECU_NAME;ECU_SGBD;ID_DATUM;ID_HW_NR;ID_BMW_NR;ID_SG_ADR;ECU_GRUPPE;ID_LIEF_NR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;ID_COD_INDEX;ID_DATUM_TAG;ID_LIEF_TEXT;ID_SW_NR_FSV;ID_SW_NR_MCV;ID_SW_NR_OSV;ID_SW_NR_RES;ID_VAR_INDEX;SERIENNUMMER;ID_DATUM_JAHR;ID_DIAG_INDEX;ID_DATUM_MONAT
12;Dieselelektronik DDE 7.3  6 Zylinder M57TUE2US;D73N57C0;08.02.2014;00;8572131;18;D_MOTOR;8;OKAY;BC,F1,12,5A,80,00,00,08,57,21,31,00,02,00,30,57,44,20,14,02,08,08,08,02,30,37,54,4D,03,03,01,00,00,00,00,00,07,81,18,77,30,10,18,73,30,30,38,39,5A,48,30,30,30,38,39,5A,48,30,41,37,54,4D,42,F9;;DME/DDE;2;8;Bosch;55.84.77;8.2.48;3.3.1;0.0.0;22340;030101873;2014;48;2
62;MOST/CAN-Gateway (im CIC Rüko);CICR_GW;13.12.2011;00;9273168;98;D_MOSTGW;20;OKAY;BC,F1,62,5A,80,00,00,09,27,31,68,00,00,10,E0,56,43,20,11,12,13,20,00,00,00,08,0F,17,06,00,07,00,00,00,00,00,09,16,91,66,B2,10,56,31,30,32,30,32,4A,51,30,30,32,30,32,4A,51,30,46,37,38,30,41,8F;;MOSTGW;0;13;Becker;8.15.23;0.0.0;6.0.7;0.0.0;22083;0B2105631;2011;4320;12
3D;Head-Up-Display;HUD_70;04.02.2005;15;9262189;61;D_HUD;71;OKAY;BC,F1,3D,5A,80,00,00,09,26,21,89,15,04,0D,50,50,47,20,05,02,04,71,00,20,BE,B9,45,00,01,03,13,00,00,00,00,00,09,16,86,92,27,91,10,23,30,37,31,31,45,59,30,30,37,31,31,45,59,30,46,31,37,30,41,A8;;HUD;4;4;NSI B.V;185.69.0;0.32.190;1.3.19;0.0.0;20551;027911023;2005;3408;2
63;Car Infotainment Computer CIC Rüko;CICR;13.12.2011;00;9273157;99;D_MMI;20;OKAY;BC,F1,63,5A,80,00,00,09,27,31,57,00,1A,10,F0,55,55,20,11,12,13,20,00,00,00,08,0F,17,06,00,07,00,00,00,00,00,09,16,91,65,B2,10,56,31,30,32,30,32,4A,50,30,30,32,30,32,4A,50,30,46,37,38,52,41,D9;;MASK/CCC;26;13;Becker;8.15.23;0.0.0;6.0.7;0.0.0;21845;0B2105631;2011;4336;12
37;Top HIFI Verstärker;AMPT70;21.09.2011;A31;9283748;55;D_AMP;9;OKAY;BC,F1,37,5A,80,00,00,09,28,37,48,DF,02,0E,40,4E,4E,20,11,09,21,09,00,17,84,0C,07,00,03,03,03,00,00,00,00,00,09,24,22,11,00,02,56,56,30,30,39,31,39,56,30,30,30,39,31,39,56,30,46,35,46,30,41,A6;;AMP;2;21;Loewe => Lear;12.7.0;0.23.132;3.3.3;0.0.0;20046;000025656;2011;3648;9
92;;;13.12.2011;42;9180490;146;;20;OKAY;BC,F1,92,5A,80,00,00,09,18,04,90,42,00,00,00,57,49,20,11,12,13,20,00,00,00,00,00,00,00,00,00,00,00,00,00,00,09,18,04,90,B2,10,56,31,30,32,30,30,30,30,30,30,32,30,30,30,30,30,46,30,30,30,41,DF;;VIRTSG92;0;13;Becker;0.0.0;0.0.0;0.0.0;0.0.0;22345;0B2105631;2011;0;12
36;COMBOX Telefon Rüko;CMEDIAR;27.10.2011;07;9257165;54;D_TEL;20;OKAY;BC,F1,36,5A,80,00,00,09,25,71,65,07,05,12,00,59,43,20,11,10,27,20,00,23,E6,03,04,1F,FF,FF,FF,00,00,00,00,00,09,24,65,29,02,66,66,70,30,32,30,32,4A,32,30,30,32,30,32,4A,32,30,46,30,37,30,41,26;;TEL/MULF;5;27;Becker;3.4.31;0.35.230;255.255.255;0.0.0;22851;002666670;2011;4608;10
A0;Festplatte im CIC Rüko;CICR_HD;13.12.2011;00;9273189;160;D_CCC;20;OKAY;BC,F1,A0,5A,80,00,00,09,27,31,89,00,00,11,00,56,51,20,11,12,13,20,00,00,00,08,0F,17,06,00,07,00,00,00,00,00,09,16,91,67,B2,10,56,31,30,32,30,32,36,43,30,30,32,30,32,36,43,30,46,37,38,41,41,EB;;CCC;0;13;Becker;8.15.23;0.0.0;6.0.7;0.0.0;22097;0B2105631;2011;4352;12
45;Regen- Licht-, und Solarsensor;RLSS70;27.10.2011;C0;9254025;69;D_RLS;3;OKAY;9F,F1,45,5A,80,00,00,09,25,40,25,C0,02,0E,70,54,54,20,11,10,27,03,00,16,80,0B,09,2D,01,0C,00,01,0C,00,86;;RLS;2;27;Hella;11.9.45;0.22.128;1.12.0;1.12.0;21588;;2011;3696;10
50;DWA Sirene und Neigungsgeber;SINE_65;28.10.2011;16;9243750;80;D_SINE;46;OKAY;9F,F1,50,5A,80,00,00,09,24,37,50,16,05,03,E0,00,01,20,11,10,28,46,00,00,00,04,06,01,00,00,00,00,00,00,27;;SINE;5;28;Gemel;4.6.1;0.0.0;0.0.0;0.0.0;1;;2011;992;10
;;;;;;;;;OKAY;;;;;;;;;;;;;;;
